name,siret,address,legalRepresentative,fiscalYearEndDate,email,phone
ACTION AVENTURE,89454158400010,"12 RUE DES FRERES LUMIERE 94350 VILLIERS-SUR-MARNE","LEBLANC ALEXANDRE","31/12",,
AUTO ECOLE DE LA MAIRIE,84439243400013,"3 PLACE DE L EGLISE 94350 VILLIERS-SUR-MARNE","MADI ABDALLAH","31/12",autoecoledelamairie94@gmail.com,0652613532
BODY MINUTE,84905904600015,"10 PLACE DE L EGLISE 94350 VILLIERS-SUR-MARNE","GOMES ISABELLE","31/12",,
CABINET FLORET,80824988700025,"6 RUE PIERRE ET MARIE CURIE 94350 VILLIERS-SUR-MARNE","FLORET CHRISTOPHE","31/12",cabfloret.assur@gmail.com,0619864230
CABINET MEDICAL GALEA,83150039200019,"11 AVENUE DE LA DIVISION LECLERC 94350 VILLIERS-SUR-MARNE","GALEA ALAIN","31/12",,
CHICKEN SPOT,84033284900011,"11 RUE ALBERT EINSTEIN 94350 VILLIERS-SUR-MARNE","HAYEK SAMI","31/12",,
EASYLIAGE,84260273700021,"6 RUE PIERRE ET MARIE CURIE 94350 VILLIERS-SUR-MARNE","GOSSELIN VERONIQUE","31/12",vsw.contact@gmail.com,0668910145
GENERATION FORMATION,83222384700024,"6 RUE PIERRE ET MARIE CURIE 94350 VILLIERS-SUR-MARNE","BEN HAMOUDA ANISSA","31/12",,
GUSTO,82894396900011,"2 RUE DU GENERAL DE GAULLE 94350 VILLIERS-SUR-MARNE","BARIS FATIH","31/12",,
I LOVE CREPES,83408990400023,"6 AVENUE DE LA DIVISION LECLERC 94350 VILLIERS-SUR-MARNE","BOUCIF ADEL","31/12",,
JAY SEE,88849405600011,"6 RUE PIERRE ET MARIE CURIE 94350 VILLIERS-SUR-MARNE","JAY SEE","31/12",jaysee94350@gmail.com,0767113110
KAIROS,90439396100012,"6 RUE PIERRE ET MARIE CURIE 94350 VILLIERS-SUR-MARNE","ZIDANE MEHDI","31/12",,
LE VILLIERS,82025345700029,"2 PLACE DE L EGLISE 94350 VILLIERS-SUR-MARNE","CHOUGUI MILOUD","31/12",,
MIA BEAUTY,88275990500010,"2 RUE NEUVE 94350 VILLIERS-SUR-MARNE","ALVES MARIA","31/12",,
MONDIAL Pare Brise,84234586200019,"6 RUE PIERRE ET MARIE CURIE 94350 VILLIERS-SUR-MARNE","ZIANE MOHAMED","31/12",villiers@mondialparebrise.fr,
O'TACOS,82428989500013,"3 RUE DU GENERAL DE GAULLE 94350 VILLIERS-SUR-MARNE","KAMGUEM KAMDEM STEPHANE","31/12",,
SCI A AMSELLEM,83038827700012,"6 RUE PIERRE ET MARIE CURIE 94350 VILLIERS-SUR-MARNE","AMSELLEM ALAIN","31/12",,
SCI MS INVEST,88339129500014,"6 RUE PIERRE ET MARIE CURIE 94350 VILLIERS-SUR-MARNE","SELLAMI MEHDI","31/12",,
TOP AUTO,84869408600015,"10 RUE ALBERT EINSTEIN 94350 VILLIERS-SUR-MARNE","BEN HAMOUDA ANISSA","31/12",,
VSW,84260273700021,"6 RUE PIERRE ET MARIE CURIE 94350 VILLIERS-SUR-MARNE","GOSSELIN VERONIQUE","31/12",vsw.contact@gmail.com,0668910145
