"name","siret","address","legalRepresentative","fiscalYearEndDate","email","phone"
"2FBZ.TRANSPORTS","92345678901234","123 Rue de la Logistique, 75013 Paris","Ines Dubois","31/12","contact@2fbztransports.com","0123456789"
"3D SECURITY FR","92345678901235","124 Rue de la Surveillance, 75014 Paris","Julien Roche","31/12","contact@3dsecurity.com","0123456790"
"A & Z SAFETY","92345678901236","125 Avenue de la Prévention, 75015 Paris","Amine Durand","31/12","contact@azsafety.com","0123456791"
"A.S.T.R AIS-SYSTEME TOITURE RENOVATION","92345678901237","126 Boulevard des Artisans, 75016 Paris","Karim Moreau","31/12","contact@astr.com","0123456792"
"ACINE SERVICES","92345678901238","127 Rue des Services, 75017 Paris","Nadia Petit","31/12","contact@acineservices.com","0123456793"
"ACTIVUS SECURITE PRIVEE","92345678901239","128 Avenue de la Garde, 75018 Paris","Paul Hubert","31/12","contact@activus.com","0123456794"
"AD CONSULTING","92345678901240","129 Rue du Conseil, 75019 Paris","Audrey David","31/12","contact@adconsulting.com","0123456795"
"AD TRANSPORTS","92345678901241","130 Boulevard de la Livraison, 75020 Paris","Denis Martin","31/12","contact@adtransports.com","0123456796"
"ADDAD TRANS LOG","92345678901242","131 Rue de la Logistique, 92100 Boulogne-Billancourt","Farid Addad","31/12","contact@addad.com","0123456797"
"ADEM AUTO","92345678901243","132 Avenue des Voitures, 92200 Neuilly-sur-Seine","Adem Lefebvre","31/12","contact@ademauto.com","0123456798"
"ADEH SECURITE PRIVEE","92345678901244","133 Rue de la Protection, 92800 Puteaux","Hamed Diallo","31/12","contact@adeh.com","0123456799"
"AGENCE EUROPEENNE DE PROTECTION A.E.P SECURITE PRI","92345678901245","134 Boulevard de l'Europe, 93000 Bobigny","Eric Fournier","31/12","contact@aep.com","0123456800"
"AFL WORLD","92345678901246","135 Avenue du Monde, 93100 Montreuil","Fatima Leroy","31/12","contact@aflworld.com","0123456801"
"AJS","92345678901247","136 Rue des Initiales, 93200 Saint-Denis","Ahmed Said","31/12","contact@ajs.com","0123456802"
"AK TAXI","92345678901248","137 Boulevard des Taxis, 93300 Aubervilliers","Ali Khan","31/12","contact@aktaxi.com","0123456803"
"AKCOM SERVICES","92345678901249","138 Rue de la Communication, 93400 Saint-Ouen","Karim Bernard","31/12","contact@akcom.com","0123456804"
"AKS SECURITE PRIVEE","92345678901250","139 Avenue de la Sûreté, 93500 Pantin","Kevin Simon","30/09","contact@aks.com","0123456805"
"ALINE FIBER","92345678901251","140 Rue de la Fibre, 93600 Aulnay-sous-Bois","Aline Dubois","31/12","contact@alinefiber.com","0123456806"
"ALL SECURITE","92345678901252","141 Boulevard de la Sécurité, 93700 Drancy","Alexandre Lambert","31/12","contact@allsecurite.com","0123456807"
"ALL TRANS","92345678901253","142 Rue du Transit, 93800 Épinay-sur-Seine","Alice Girard","31/12","contact@alltrans.com","0123456808"
"AM QUALITY CONSULTING","92345678901254","143 Avenue de la Qualité, 94000 Créteil","Marie Arnaud","31/01","contact@amquality.com","0123456809"
"AM SERVICES","92345678901255","144 Rue des Prestations, 94100 Saint-Maur-des-Fossés","Antoine Michel","31/12","contact@amservices.com","0123456810"
"AMG SERVICE","92345678901256","145 Boulevard du Service, 94110 Arcueil","Marc Garcia","31/12","contact@amgservice.com","0123456811"
"ANT","92345678901257","146 Rue de la Fourmi, 94120 Fontenay-sous-Bois","Anthony Petit","31/12","contact@ant.com","0123456812"
"ARMURE SECURITE PRIVEE","92345678901258","147 Avenue de l'Armure, 94130 Nogent-sur-Marne","Arnaud Chevalier","31/12","contact@armuresecurite.com","0123456813"
